Title	URL	HasUniqueRoleAssignments	User/Group	Roles
Tax Operations Manager	http://sps2013/sites/tomv2	True	SPS2013\administrator	Full Control,Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	Excel Services Viewers	View Only,
Tax Operations Manager	http://sps2013/sites/tomv2	True	TOM v2 Owners	Full Control,Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	TOM v2 Visitors	Read,
Tax Operations Manager	http://sps2013/sites/tomv2	True	TOM v2 Members	Edit,Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	TOM Administrators	Full Control,Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	TOM Owners	Full Control,Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	TOM Members	Contribute,Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	TOM Visitors	Read,Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	TOM Viewers	Read,Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	Style Resource Readers	Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	Designers	Design,Limited Access,
Tax Operations Manager	http://sps2013/sites/tomv2	True	Hierarchy Managers	Manage Hierarchy,
Tax Operations Manager	http://sps2013/sites/tomv2	True	Approvers	Approve,
Tax Operations Manager	http://sps2013/sites/tomv2	True	Restricted Readers	Restricted Read,
Tax Operations Manager	http://sps2013/sites/tomv2	True	Translation Managers	Restricted Interfaces for Translation,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	SPS2013\administrator	Full Control,Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	Excel Services Viewers	View Only,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	TOM v2 Owners	Full Control,Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	TOM v2 Visitors	Read,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	TOM v2 Members	Edit,Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	TOM Administrators	Full Control,Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	TOM Owners	Full Control,Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	TOM Members	Contribute,Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	TOM Visitors	Read,Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	TOM Viewers	Read,Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	Style Resource Readers	Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	Designers	Design,Limited Access,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	Hierarchy Managers	Manage Hierarchy,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	Approvers	Approve,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	Restricted Readers	Restricted Read,
Announcement / アナウンスメント	http://sps2013/sites/tomv2/Lists/Announcement	False	Translation Managers	Restricted Interfaces for Translation,
Application Permissions	http://sps2013/sites/tomv2/Lists/ApplicationPermissions	True	SPS2013\administrator	Full Control,
Application Permissions	http://sps2013/sites/tomv2/Lists/ApplicationPermissions	True	TOM v2 Owners	Full Control,
Application Permissions	http://sps2013/sites/tomv2/Lists/ApplicationPermissions	True	TOM v2 Visitors	Read,
Application Permissions	http://sps2013/sites/tomv2/Lists/ApplicationPermissions	True	TOM v2 Members	Edit,
Application Permissions	http://sps2013/sites/tomv2/Lists/ApplicationPermissions	True	TOM Administrators	Full Control,
Application Permissions	http://sps2013/sites/tomv2/Lists/ApplicationPermissions	True	TOM Owners	Full Control,
Application Permissions	http://sps2013/sites/tomv2/Lists/ApplicationPermissions	True	TOM Members	Read,
Application Permissions	http://sps2013/sites/tomv2/Lists/ApplicationPermissions	True	TOM Visitors	Read,
Application Permissions	http://sps2013/sites/tomv2/Lists/ApplicationPermissions	True	TOM Viewers	Read,
Application Settings	http://sps2013/sites/tomv2/Lists/ApplicationSettings	True	SPS2013\administrator	Full Control,
Application Settings	http://sps2013/sites/tomv2/Lists/ApplicationSettings	True	TOM v2 Owners	Full Control,
Application Settings	http://sps2013/sites/tomv2/Lists/ApplicationSettings	True	TOM v2 Visitors	Read,
Application Settings	http://sps2013/sites/tomv2/Lists/ApplicationSettings	True	TOM v2 Members	Edit,
Application Settings	http://sps2013/sites/tomv2/Lists/ApplicationSettings	True	TOM Administrators	Full Control,
Application Settings	http://sps2013/sites/tomv2/Lists/ApplicationSettings	True	TOM Owners	Full Control,
Application Settings	http://sps2013/sites/tomv2/Lists/ApplicationSettings	True	TOM Members	Read,
Application Settings	http://sps2013/sites/tomv2/Lists/ApplicationSettings	True	TOM Visitors	Read,
Application Settings	http://sps2013/sites/tomv2/Lists/ApplicationSettings	True	TOM Viewers	Read,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	SPS2013\administrator	Full Control,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM v2 Owners	Full Control,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM v2 Visitors	Read,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM v2 Members	Edit,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Administrators	Full Control,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Owners	Full Control,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Members	Read,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Visitors	Read,
BusinessFunctions	http://sps2013/sites/tomv2/Lists/BusinessFunctions	True	TOM Viewers	Read,
